X,CavityTop,CavityBottom,CavitySide
CavityTop,0,0.1715728752538097,0.8284271247461903
CavityBottom,0.1715728752538097,0,0.8284271247461903
CavitySide,0.2071067811865476,0.2071067811865476,0.5857864376269049
