date_format,epoch_format,zigduino-35:sound,zigduino-37:sound,zigduino-35:temperature,zigduino-37:temperature,zigduino-35:pir,zigduino-37:pir,zigduino-35:humidity,zigduino-37:humidity,zigduino-35:light,zigduino-37:light
2018-04-13T16:00:00,1523635200000,50.55826672275978,5.441498316498317,22.277113595528416,23.583165091697616,0.013041649137568364,0.0021043771043771043,37.95359753459053,36.566666291618986,548.9242742953303,1023.0
2018-04-13T17:00:00,1523638800000,49.01640723601178,5.000420698359276,22.39579261888914,24.936306244493483,0.0,0.0,37.53769445680098,34.003365702422464,400.7896508203618,1023.0
2018-04-13T18:00:00,1523642400000,48.959612957509464,5.001682793437106,22.334875272109723,22.59772814107533,0.0,0.0,37.41316882090555,37.79007149304368,23.95582667227598,425.2961716449306
2018-04-13T19:00:00,1523646000000,48.946571308371894,4.948254101809003,22.195751571334306,21.97812360186611,0.0,0.0,37.3245265127783,38.64450955421021,2.610012620950778,2.6331510307109802
2018-04-13T20:00:00,1523649600000,49.26599326599327,4.751787968026925,22.091456577834055,21.58973514426893,0.0,0.0,37.30867049991081,38.93142694257416,2.5963804713804715,2.5498527555742534
2018-04-13T21:00:00,1523653200000,48.916281026503995,4.4286916281026505,22.002019359827745,21.24446775896187,0.0,0.0,37.3178804274813,38.98384542950673,2.591922591501893,2.572991165334455
2018-04-13T22:00:00,1523656800000,49.21623895666807,4.201514514093395,22.044005216246248,20.999537230039476,0.0,0.0,37.029364300616706,38.989819255053725,2.6028607488430797,2.552797644089188
2018-04-13T23:00:00,1523660400000,49.12705090450147,4.0778291964661335,21.99310052058854,20.791459702622955,0.0,0.0,36.848464757191515,38.92095178227792,2.5868742111905765,2.533445519562474
2018-04-14T00:00:00,1523664000000,49.172486327303325,4.034076567101389,21.97686150197377,20.617711845144385,0.0,0.0,36.7154397767885,38.7718552592225,2.5868742111905765,2.532604122843921
2018-04-14T01:00:00,1523667600000,49.29322675641565,4.017669331089609,21.88026879021336,20.437862615300467,0.0,0.0,36.595623470526256,38.59213287327838,2.5868742111905765,2.5279764408918806
2018-04-14T02:00:00,1523671200000,49.25578460244005,4.004206983592764,21.797895782175413,20.297769958951868,0.0,0.0,36.48413991386468,38.494531004780924,2.576777450567943,2.5300799326882624
2018-04-14T03:00:00,1523674800000,49.353386621792176,4.001262095077829,21.74716032940548,20.184645194991276,0.0,0.0,36.38965207406037,38.33003778421533,2.584350021034918,2.500210349179638
2018-04-14T04:00:00,1523678400000,49.47623054270088,4.007993268826252,21.637358531863637,20.054396505359847,0.0,0.0,36.32835563752749,38.2093808676046,32.93689524610854,393.6680689945309
2018-04-14T05:00:00,1523682000000,49.390408077408495,4.009676062263357,21.607741260809412,20.09924312153432,0.0,0.0,36.124736090994304,37.839503930605005,230.76987799747582,1023.0
2018-04-14T06:00:00,1523685600000,49.622895622895626,4.013468013468014,21.495117826493903,20.341498317943277,0.0,0.0,36.192423611779006,37.21220567812422,461.8796296296296,1023.0
2018-04-14T07:00:00,1523689200000,49.73117374842238,4.120740429112327,21.301177196960065,21.11464020500777,0.0,0.0,36.40883605661741,35.8384097271423,854.056373580143,1023.0
2018-04-14T08:00:00,1523692800000,49.38241480858225,4.560370214556163,21.383297829954977,21.965292541831293,0.0,0.0,36.21169506324957,34.513378197875,1020.7118216238956,1023.0
2018-04-14T09:00:00,1523696400000,49.50105174589819,4.826251577618847,21.476398732013244,22.165965320585553,0.0,0.0,36.1132934339216,34.34341622763037,1008.2423222549432,1023.0
2018-04-14T10:00:00,1523700000000,49.13167858645351,4.983585858585859,21.856710045589434,22.936868651547417,0.0,0.0,35.662810544281584,33.46809778630934,1023.0,1023.0
2018-04-14T11:00:00,1523703600000,48.84638047138047,5.0,22.418855260919642,24.03786281943572,0.0,0.0,35.165319359262384,31.987252798309132,1023.0,1023.0
2018-04-14T12:00:00,1523707200000,48.71055952881784,5.0,22.724274469615533,24.727555729533425,0.0,0.0,35.163062572679856,30.920193541787178,1023.0,1023.0
2018-04-14T13:00:00,1523710800000,48.85527976440892,5.002103491796382,22.810516737768214,24.589735294321176,0.0,0.0,35.291964791329605,31.164619429752413,1012.9377366428271,1023.0
2018-04-14T14:00:00,1523714400000,48.78291964661338,5.016414141414141,22.851198422693134,24.29966328280542,0.0,0.0,35.47673565227041,31.953535275828557,936.3979806478754,1023.0
2018-04-14T15:00:00,1523718000000,48.551114850652084,5.0,22.816701025635844,23.874884207809377,0.0,0.0,35.613209430339914,32.70185131318538,776.9453092132941,1023.0
2018-04-14T16:00:00,1523721600000,48.66498316498316,5.002103491796382,22.799578376089283,24.65397551203155,0.0,0.0,35.73821573867541,31.57757670346759,697.8383838383838,1023.0
2018-04-14T17:00:00,1523725200000,48.65166175851914,5.001682793437106,22.73407681007369,23.706815449991897,0.0,0.0,35.828733826967465,33.16007574095062,298.76567101388304,1023.0
2018-04-14T18:00:00,1523728800000,48.748001682793436,4.999579301640724,22.644215947698033,22.511442756572592,0.0,0.0,35.913715235766716,35.206984247537434,27.873369793857805,386.5149347917543
2018-04-14T19:00:00,1523732400000,48.84770719394194,4.9827513672696675,22.51009679913872,22.21712245628219,0.0,0.0,36.126840077080445,35.513252178058934,2.610012620950778,2.5978123685317627
2018-04-14T20:00:00,1523736000000,48.826672275978126,4.927219183845183,22.401303788419025,21.9870003711089,0.0,0.0,36.24042923750374,35.767648506726246,2.6188472864955825,2.569625578460244
