node_id,custom_id,archi,uid,x,y,z,hwaddr,midspan_ip,midspan_port,mobile,mobility_type,circuit_name,node-rack,sensors,isInBatB,X_mm,Y_mm,Z_mm,X_m,Y_m,Z_m,radius,type
35,26,zigduino:atmega128rfa1,001a,28.02,-29.84,12.6,b8:27:eb:c3:98:7f,130.79.48.118,6,0,,,,,1,31283.04,-11292.08,6650,31.28304,-11.29208,6.65,1,gaussian
37,28,zigduino:atmega128rfa1,001c,11.14,-29.42,12.6,b8:27:eb:7a:24:b8,130.79.48.118,3,0,,,,,1,14748.68,-14630.36,6650,14.74868,-14.63036,6.65,1,gaussian
