date_format,epoch_format,zigduino-35:temperature,zigduino-37:temperature,zigduino-35:light,zigduino-37:light,zigduino-35:sound,zigduino-37:sound,zigduino-35:pir,zigduino-37:pir,zigduino-35:humidity,zigduino-37:humidity
2018-04-13T00:00:00,1523577600000,22.16676830198462,22.21499341593082,123.33857480936103,310.47983171180647,49.2508019984223,4.731422561135945,0.001630291874835656,0.00026295030239284776,37.34167264927822,37.853899748463895
2018-04-14T00:00:00,1523664000000,22.14979913176407,22.153207161069407,435.47455517573843,587.5664300113945,49.060057849066524,4.603979314576212,0.0,0.0,36.02988522576663,35.16046460533092
2018-04-15T00:00:00,1523750400000,22.5272350927513,22.548657175016874,423.4863263445761,568.2343629478999,48.6838756047963,4.751823154056518,0.0,0.0,35.99650086407641,37.21151393456777
2018-04-16T00:00:00,1523836800000,22.91850948199462,22.636826614393907,391.2974030037547,537.1375911766431,49.37852002503129,4.87656686939007,0.023114831038798498,0.004380389932925279,37.43423033946745,39.4192052567749
2018-04-17T00:00:00,1523923200000,23.530744566053755,24.036976718641785,438.66462730523807,600.9165556412594,48.905914732487204,5.227228104620995,0.00832690554659561,0.011096697286305308,35.93850357928221,34.34409759853976
2018-04-18T00:00:00,1524009600000,24.23973136741224,24.88895758528603,361.40085549497746,602.3725895799734,48.42327717686658,5.518003646308113,0.00601300773100994,0.015409157843068509,35.302804926469385,32.49707948993511
2018-04-19T00:00:00,1524096000000,25.022157883090323,24.81797537116961,290.6713647120694,593.9350863353493,48.58311859058638,5.394022263125603,0.014672626873520904,0.006468577438864055,33.87804535377536,32.64681210560932
2018-04-20T00:00:00,1524182400000,25.474976034312384,23.500182353215585,279.784836532562,588.1010623378445,48.56201244631431,5.058796718322698,0.013427995442194758,0.007450389173269757,34.00265589301201,37.583461858908414
2018-04-21T00:00:00,1524268800000,25.948339978204636,25.1325608495492,300.7692658298857,589.447163593016,47.080061005539584,5.3812846223967465,0.0,7.01213098660683e-05,34.2033221907723,35.887044989739216
2018-04-22T00:00:00,1524355200000,26.42282200397927,25.93835642073484,290.7306734915682,594.3189993689082,46.93231777863478,5.57348713273964,0.0001227079900431231,5.2590982399551224e-05,34.67528310614666,34.74059669895064
2018-04-23T00:00:00,1524441600000,25.723345599226242,24.623778197284032,262.6684431043248,605.5742234064933,48.28036744210508,5.589615034008835,0.015111407184054135,0.04354533342682841,40.95560191343583,43.598502901340886
2018-04-24T00:00:00,1524528000000,25.035587151965114,24.381676982128443,380.54509755798256,602.7314657363743,47.67901407709973,5.327016461266062,0.009080868818259908,0.029696895324579704,38.510106366214394,40.77772212278863
2018-04-25T00:00:00,1524614400000,25.038868844813194,24.33852473573208,374.69552793506654,605.8011710258747,48.43561874375471,5.317158684524227,0.019055800010518383,0.002068578641049015,36.179482065013595,36.84592254826718
2018-04-26T00:00:00,1524700800000,24.10257334388512,23.382133225389556,319.7259308603885,612.2958593366524,48.13123203141435,5.052012481593156,0.0,0.0017530327466517075,31.958972021369995,30.855257282233005
2018-04-27T00:00:00,1524787200000,23.613636431584112,23.022382336346606,390.25900604785693,612.6230169164695,49.65746340608292,4.9808572179858,0.004487685160837935,0.015741958103251817,30.56585856426064,30.986643782354946
2018-04-28T00:00:00,1524873600000,23.39285644108346,22.592751348667512,328.83693289390646,574.6647033044088,49.19292125376902,4.986607064598124,0.0,0.0002278902620738014,31.775713635982232,33.23069159619511
2018-04-29T00:00:00,1524960000000,23.253765351524375,22.451419874759303,395.6465184769651,587.0614963887525,49.406545824275995,4.888086389453755,0.0,0.0,33.98345848929037,39.53156338650184
2018-04-30T00:00:00,1525046400000,23.045669222408847,23.817861655711226,365.9932158821983,618.3509922165346,50.42129897449382,5.172410770633196,1.7530020159523183e-05,0.0031905195989061076,32.04226139044195,29.84671650089344
2018-05-01T00:00:00,1525132800000,22.17901277665829,23.50865475705626,369.3551118434892,625.4436925881776,50.49325082392539,4.996371222214431,0.0,0.00010518196479910245,29.008982505447925,25.411701560430043
2018-05-02T00:00:00,1525219200000,21.972581241730374,21.143995765315292,291.0433692698747,609.1546700792371,51.727495836620214,4.56719374517916,0.008291699535454465,0.01863473809690765,29.537144332760022,30.641446987414508
2018-05-03T00:00:00,1525305600000,21.96872541733202,19.466858430361242,359.23113026644995,594.4769157717876,51.58881969428566,4.303637957484112,0.006830176963675877,0.0020819636204251588,33.46490860176933,41.573586467063244
2018-05-04T00:00:00,1525392000000,22.61649956625279,22.38013458987555,388.95191431175937,632.7201107916696,50.93857373255732,4.728297454596452,0.0027522614122431808,0.0010693499754575416,34.23859825907328,35.01545472804113
2018-05-05T00:00:00,1525478400000,23.295729461805273,23.47720003124708,411.6893625972933,638.65444218498,49.901672393240304,4.967796788444008,0.0,0.0,34.24631859605689,34.91843478772109
2018-05-06T00:00:00,1525564800000,24.165851950191957,24.52002663020875,410.5964973791701,644.2846223967464,49.21625791069895,5.28674356636982,0.0,0.0,34.70367422104383,34.71051829089106
2018-05-07T00:00:00,1525651200000,24.790478919838595,25.142553151719625,407.4551654015392,649.1532501227123,49.242886944936274,5.462414977911787,0.008151745174692776,0.0022438819157141856,33.830617240570184,32.15481731622636
2018-05-08T00:00:00,1525737600000,25.438734425469423,25.805032783666785,414.6304496450171,648.3577701814357,48.47592251731089,5.548566920851959,0.0,0.0,32.921242905967084,31.33130155120831
2018-05-09T00:00:00,1525824000000,25.614939062329345,26.20861786383665,367.1152949425892,642.4084390996424,49.66107459023578,5.687854989131197,0.004978525725304584,0.0033307622186382444,33.47471126222372,32.47625332414983
