,Temps,Marteau,Acc1,Acc2
0,0.0,0.0002470163840000012,0.00024292551000000055,-1.4507126000000027e-05
1,5e-06,0.00023413739569181412,0.00023432664598885218,-2.872979567440187e-05
2,1e-05,0.00023872933076639135,0.0002302881834958191,-2.9145408700860244e-05
3,1.5000000000000002e-05,0.00025640167495064877,0.00022511993697198418,-2.5069109230488112e-05
4,2e-05,0.00027828619528004277,0.00021563211369389712,-2.5940413833474662e-05
5,2.5e-05,0.00029516218559044987,0.0002030382339457669,-3.590554019201504e-05
6,3.0000000000000004e-05,0.00030139443450135305,0.00019223402444072224,-5.173241893852371e-05
7,3.5000000000000004e-05,0.00029678197842741545,0.0001889417353975981,-6.493625293346053e-05
8,4e-05,0.0002855929068149778,0.00019635337447060185,-6.674554950798057e-05
9,4.5e-05,0.0002735561881214409,0.00021309771183375487,-5.316584172735634e-05
10,5e-05,0.0002645832863972858,0.00023355317153267343,-2.752756379531936e-05
11,5.5e-05,0.0002589867028659907,0.0002502438298464365,6.656724211356397e-07
12,6.000000000000001e-05,0.0002540068776456184,0.0002570215428495657,1.9880666217420782e-05
13,6.500000000000001e-05,0.00024612776254281243,0.0002514767189345761,2.1605185208640112e-05
14,7.000000000000001e-05,0.0002337068045494683,0.00023557613952821676,3.962447115763603e-06
15,7.500000000000001e-05,0.00021837060784011126,0.00021449376886248847,-2.760855320939047e-05
16,8e-05,0.00020441984173934008,0.0001944138449371652,-6.269146759446715e-05
17,8.5e-05,0.00019665039628761403,0.00018036062501845766,-9.006215526558584e-05
18,9e-05,0.00019785958258064843,0.00017483130953117583,-0.00010189089418748476
19,9.5e-05,0.00020740614046235386,0.00017747075221247687,-9.636378033328433e-05
20,0.0001,0.00022153058577534506,0.00018558911228700196,-7.787356123614758e-05
21,0.000105,0.00023514728953170515,0.0001951743851112214,-5.488929353398378e-05
22,0.00011,0.00024407511033291344,0.00020212373934332266,-3.641727065352821e-05
23,0.000115,0.00024657010601206956,0.00020350177336590178,-2.839881567065524e-05
24,0.00012000000000000002,0.00024354873381242853,0.0001985842094175406,-3.137913678103745e-05
25,0.000125,0.00023766786044232058,0.00018931372949330973,-4.03477517240701e-05
26,0.00013000000000000002,0.00023197639716352118,0.00017978866205769982,-4.689523721023518e-05
27,0.000135,0.00022888413741029348,0.00017470171512604717,-4.2948895410848626e-05
28,0.00014000000000000001,0.00022977305148823716,0.00017719922379794687,-2.4637080988283396e-05
29,0.000145,0.00023505386003146286,0.00018713631145251465,5.385798746441767e-06
30,0.00015000000000000001,0.00024422758515295936,0.0002007668706121566,3.834131971581359e-05
31,0.000155,0.000255701365344973,0.00021233125435341776,6.254716918783929e-05
32,0.00016,0.0002665547946252055,0.00021698670945657282,6.825037186514602e-05
33,0.00016500000000000003,0.00027277818283369176,0.0002136160543908482,5.1985341813093425e-05
34,0.00017,0.00027039358119926375,0.00020585217070776983,1.840669697747465e-05
35,0.00017500000000000003,0.0002573110118343764,0.0002004345438381153,-2.139499816967367e-05
36,0.00018,0.0002350976186778883,0.00020346248148393078,-5.4444294427453076e-05
37,0.00018500000000000002,0.00020952887157099512,0.00021645072725428146,-7.122518996532226e-05
38,0.00019,0.00018916564870788527,0.00023449711170331163,-6.930449639860312e-05
39,0.00019500000000000002,0.00018217014127985538,0.00024796296460834086,-5.3554030548486574e-05
40,0.0002,0.0001926411981426342,0.00024721211523274285,-3.301505791416056e-05
41,0.00020500000000000002,0.0002182748057233561,0.00022812907010139472,-1.6165386192225557e-05
42,0.00021,0.0002507346039501634,0.0001954085571421448,-7.126131417479613e-06
43,0.00021500000000000002,0.0002788617689373629,0.00016151282607241923,-4.73776939844775e-06
44,0.00022,0.00029337904164657483,0.00014137110535340292,-4.765493282119307e-06
45,0.00022500000000000002,0.0002908568288872563,0.0001452280271981185,-3.696116993457348e-06
46,0.00023,0.00027495418335191996,0.0001732425794392198,-1.6929123031109145e-06
47,0.00023500000000000002,0.0002542710075281862,0.000214758269096835,-2.8132538530073557e-06
48,0.00024000000000000003,0.00023788865925995642,0.0002528752041964868,-1.227516596210212e-05
49,0.00024500000000000005,0.0002309027098222967,0.00027222604347058117,-3.241161884296617e-05
50,0.00025,0.00023227323926299808,0.0002661465043288316,-5.987365387399065e-05
51,0.000255,0.00023608400293854815,0.00023967917059357466,-8.604715598586855e-05
52,0.00026000000000000003,0.0002354553857187178,0.00020695157844321006,-0.0001008240266984797
53,0.00026500000000000004,0.00022689941123734634,0.00018431741296681323,-9.784580397155325e-05
54,0.00027,0.00021265069086337003,0.00018273468004953593,-7.830487836554958e-05
55,0.000275,0.00019961932657597793,0.0002030962480999204,-5.10013751863151e-05
56,0.00028000000000000003,0.00019549854273411053,0.00023655881392440882,-2.83340440511093e-05
57,0.00028500000000000004,0.00020418562178361744,0.00026929693128126454,-2.0169286766239603e-05
58,0.00029,0.00022312741516493113,0.00028897055921809793,-2.880031824465255e-05
59,0.000295,0.00024420249179419776,0.0002896343277375989,-4.772703466044859e-05
60,0.00030000000000000003,0.0002578224634904133,0.00027300568944697124,-6.49803061645581e-05
61,0.00030500000000000004,0.0002581228133676293,0.00024614709118066485,-6.927244836381976e-05
62,0.00031,0.000246422523231558,0.00021743991481363916,-5.572924098802593e-05
63,0.000315,0.0002309686071405747,0.00019325589994934097,-2.8197929434391485e-05
64,0.00032,0.00022292416098575684,0.00017681737824229134,3.0023881554396437e-06
65,0.00032500000000000004,0.00023057603273145087,0.0001690958935987845,2.655767629055654e-05
66,0.00033000000000000005,0.0002547455025236493,0.00017032354606737017,3.5838816850372016e-05
67,0.000335,0.00028782922813833355,0.00018056453015522536,3.175335646483327e-05
68,0.00034,0.0003170569805752716,0.0001988122967651367,2.1384891252471426e-05
69,0.00034500000000000004,0.000330389895313488,0.00022148034750728513,1.338619466312134e-05
70,0.00035000000000000005,0.00032212998916195156,0.00024192962437712178,1.2829904394706215e-05
71,0.000355,0.0002954688621802281,0.0002522208626721293,1.8406643716581097e-05
72,0.00036,0.00026077466690225935,0.0002468101443078317,2.3446033594713646e-05
73,0.00036500000000000004,0.0002305710295095917,0.00022634189734415316,2.0061277020059273e-05
74,0.00037000000000000005,0.00021378276208558957,0.00019910136194192964,4.0124989280829995e-06
75,0.000375,0.0002120960287419625,0.00017859941082071858,-2.2432447355671107e-05
76,0.00038,0.00022010702419085078,0.00017779899559548757,-5.1176357974435304e-05
77,0.00038500000000000003,0.0002289603890424702,0.00020253853037360467,-7.20808595933194e-05
78,0.00039000000000000005,0.00023143930979048656,0.00024754031709626074,-7.779758724645378e-05
79,0.000395,0.0002258361654915522,0.00029740824794226235,-6.71315983919032e-05
80,0.0004,0.0002166777733108022,0.0003326250673078669,-4.533431188995165e-05
81,0.00040500000000000003,0.00021206268259593123,0.0003379855764919326,-2.1397555180319074e-05
82,0.00041000000000000005,0.00021909611234385975,0.0003095335265291555,-3.90966525569685e-06
83,0.00041500000000000006,0.00023981075983093306,0.0002566744836943137,2.425173489078482e-06
84,0.00042,0.00026962978394577523,0.00019843080069240906,-1.911388488768013e-06
85,0.00042500000000000003,0.0002990923655270216,0.00015560394694719439,-1.2379922820496096e-05
86,0.00043000000000000004,0.00031793760272817793,0.00014247895067183832,-2.299915787853322e-05
87,0.00043500000000000006,0.0003195418723547527,0.00016173588607161418,-2.899235129720599e-05
88,0.00044,0.00030363060550578206,0.00020450642472718484,-2.831157477991192e-05
89,0.00044500000000000003,0.0002761063698995018,0.00025501127557697696,-2.16864646462306e-05
90,0.00045000000000000004,0.00024624268821389427,0.00029724144140963764,-1.1605895890608804e-05
91,0.00045500000000000006,0.00022268549033492585,0.00032061395011348634,-9.742038008927686e-07
92,0.00046,0.00021013856807790735,0.00032251125092824784,7.959956253733678e-06
93,0.000465,0.0002081445203315658,0.0003073841098936083,1.4173984968329583e-05
94,0.00047000000000000004,0.00021229762387494776,0.00028363695776269454,1.7992017519612754e-05
95,0.00047500000000000005,0.00021708433005732,0.0002600962812527723,2.0849206234153537e-05
96,0.00048000000000000007,0.00021886625754964387,0.0002434204645506339,2.4700281364784936e-05
97,0.000485,0.00021757088366048893,0.00023686814213354446,3.1070293149894346e-05
98,0.0004900000000000001,0.00021635810857625442,0.0002401015800587195,3.995817381110395e-05
99,0.000495,0.00021952657766506677,0.00024956423509443293,4.9117350259841636e-05
100,0.0005,0.00022975183077464376,0.00025931781357435904,5.435499229187031e-05
101,0.000505,0.00024605133435163146,0.00026256488695814556,5.116227629230045e-05
102,0.00051,0.0002635343965971647,0.00025396621865728797,3.7247901059094e-05
103,0.000515,0.0002751770212323848,0.00023224263414395218,1.4779794324035504e-05
104,0.0005200000000000001,0.00027491925719332056,0.00020186482352083654,-9.116269693823899e-06
105,0.0005250000000000001,0.0002607221436043742,0.00017250878001943,-2.4457650008099835e-05
106,0.0005300000000000001,0.00023613848881951928,0.00015574546286352788,-2.266207271005966e-05
107,0.000535,0.00020951106152131472,0.000159896899519824,-1.1554905101007155e-06
