TIME, Y_CM
0.0015384615384615233, 3.9917355371900833
0.013846153846153827, 3.983471074380166
0.02243212669683256, 3.95977151191055
0.03098416289592759, 3.9250816028890902
0.03892533936651582, 3.8810160427807494
0.04717194570135745, 3.8272818424890627
0.05480769230769229, 3.7666330995208006
0.06213800904977375, 3.7052225849017297
0.0691628959276018, 3.639827418570735
0.07618778280542986, 3.573025904576707
0.08290723981900452, 3.503646086533788
0.08962669683257918, 3.431453573164804
0.09604072398190044, 3.3641832766164326
0.1027601809954751, 3.289803111327176
0.10886877828054298, 3.213782207097716
0.11528280542986424, 3.1400583373845414
0.12139140271493212, 3.064584346135149
0.1278054298642534, 2.989000972289743
0.13452488687782804, 2.9102455031599423
0.14032805429864253, 2.840787554691299
0.1467420814479638, 2.7658604764219747
0.15285067873303168, 2.689839572192514
0.15895927601809956, 2.6116310160427814
0.16476244343891402, 2.5362664073894026
0.1711764705882353, 2.4552139037433163
0.17667420814479637, 2.3786460865337875
0.18278280542986425, 2.302078269324259
0.18889140271493213, 2.2227758872143903
0.195, 2.148395721925134
0.20110859728506789, 2.0696402527953337
0.20721719457013577, 1.9892440447253286
0.21271493212669684, 1.9148638794360728
0.2188235294117647, 1.8339207583859993
0.2246266968325792, 1.7578998541565394
0.23042986425339368, 1.6813320369470106
0.23653846153846153, 1.59984200291687
0.24264705882352944, 1.5205396208070008
0.24814479638009052, 1.4423310646572687
0.25425339366515837, 1.36576324744774
0.26005656108597286, 1.2860233349538168
0.26585972850678735, 1.2071584832280022
0.2719683257918552, 1.1256684491978617
0.2774660633484163, 1.048006806028197
0.2832692307692308, 0.9696888672824509
0.2893778280542987, 0.8883082158483235
0.2951809954751131, 0.8090058337384542
0.3006787330316742, 0.7324380165289264
0.3067873303167421, 0.6498541565386491
0.3122850678733032, 0.574927078269325
0.31839366515837103, 0.4917963052989798
0.32450226244343894, 0.41413466212931516
0.33, 0.3381137578998543
0.33610859728506787, 0.25881137578998636
0.3422171945701358, 0.20138551288284035
0.3507692307692308, 0.21232377248420065
0.36023755656108597, 0.21232377248420065
0.3694004524886878, 0.21232377248420065
0.378868778280543, 0.21232377248420065
0.3883371040723982, 0.21232377248420065
0.39780542986425343, 0.21232377248420065
0.4069683257918552, 0.21232377248420065
0.41643665158371046, 0.21232377248420065
0.42590497737556565, 0.21232377248420065
0.43506787330316743, 0.21232377248420065
0.4445361990950227, 0.21232377248420065
0.45400452488687787, 0.21232377248420065
0.4634728506787331, 0.21232377248420065
0.4729411764705883, 0.21232377248420065
0.4821040723981901, 0.21232377248420065
0.49126696832579186, 0.21232377248420065
